NCBI_ID	MV_FEI1_t1Q14	MV_FEI2_t1Q14	MV_FEI3_t1Q14	MV_FEI4_t1Q14	MV_FEI4_t2Q15	MV_FEI5_t1Q14	MV_FEI5_t2Q14	MV_FEI5_t3Q15	MV_FEM1_t1Q14	MV_FEM2_t1Q14	MV_FEM3_t1Q14	MV_FEM4_t1Q14	MV_FEM4_t2Q15	MV_FEM5_t1Q14	MV_FEM5_t2Q14	MV_FEM5_t3Q15	MV_MIM1_t1M14	MV_MIM2_t1M14	MV_MIM3_t1M14	MV_MIM4_t1M14	MV_MIM4_t2F15	MV_MIM5_t1M14	MV_MIM5_t2M14	MV_MIM5_t3F15
553372	0	0	0	0	0	0	0.00664	2.9e-4	0	0	0.0545	0	0.01287	0.25406	0	0.25916	0	0	0	0	0	0	0	0
447020	0	0	0	0	0	0	0.00359	0	0	0	0.06617	0	0.03531	0.16928	0	0.17999	0	0	0	0	0	0	0	0
574697	0	0	0	0	0	0	0.00116	0	0.05034	0.69987	0.86212	0	0.07832	0	0	0.00115	0	0	0	0	0	0	0	0
207244	0	0	0	0	0	0	0	2.95577	0	0.14158	0.70785	0.00155	1.87089	0.9262	0	0.0782	0	0	0	0	0	0	0	0
102106	0	0	0	0	0	0	0	0.32462	0.44134	0.63826	1.32868	0.07915	5.76653	0	0	0.03816	0	0	0	0	0	0	0	0
1769710	0	0	0	0	0	0	0	0.04434	0	0	0	0	0.29848	0	0	0	0	0	0	0	0	0	0	0
40544	0	0	0	0	0	0	0	0.02288	0	0	0	0.00153	0.01485	0	0	0.00251	0	0	0	0	0	0	0	0
946234	0	0	0	0	0	0	0	0.01312	0.1214	0	0.51974	0.14779	0.34419	9.2e-4	0.49786	0.00314	0	0	0	0	0	0	0	0
1472762	0	0	0	0	0	0	0	0.00884	0	0	0	0	0.01368	0	0	0	0	0	0	0	0	0	0	0
1506553	0	0	0	0	0	0	0	0.00135	0	0	0.07522	0	0.00742	0.01324	0	0	0	0	0	0	0	0	0	0
33024	0	0	0	0	0	0	0	0	3.57963	2.99628	0.20061	1.24552	0.2495	0	0	0	0	0	0	0	0	0	0	0
904	0	0	0	0	0	0	0	0	3.16428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
397864	0	0	0	0	0	0	0	0	0.1918	1.09037	5.23623	0.00249	0.50036	0	0	0	0	0	0	0	0	0	0	0
577309	0	0	0	0	0	0	0	0	0.15164	0.38386	0	0.91126	0.13676	0	0	0	0	0	0	0	0	0	0	0
12967	0	0	0	0	0	0	0	0	0.05645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2048137	0	0	0	0	0	0	0	0	0.01887	0.13407	0.08806	0.05274	0.1802	0.06906	0	0.11182	0	0	0	0	0	0	0	0
28050	0	0	0	0	0	0	0	0	0.00815	0.51571	0	0	0	0	0	0.98133	0	0	0	0	0	0	0	0
172900	0	0	0	0	0	0	0	0	5.9e-4	0	0.00532	0	0	0	0	0	0	0	0	0	0	0	0	0
872	0	0	0	0	0	0	0	0	0	0.60771	0	0	0	0	0	0	0	0	0	0	0	0	0	0
