physiology	ontology	trait_type	attribute_type	link	source_link
extreme environment	NA	discrete	binary	https://docs.google.com/spreadsheets/d/e/2PACX-1vSh82md-R7XuM6PMs4UY6DYCY99wgwMcY6PD-m-VoxbJJl_Ce9JWhKtTEdFLEMmzrUxDyrQtfLBCbKj/pub?output=csv	https://docs.google.com/spreadsheets/d/1ECo3h91E090gCLejDSTBYwTmUqAPE44JDJlbLzVkpbE
gram stain	NA	discrete	multistate-intersection	https://docs.google.com/spreadsheets/d/e/2PACX-1vRxQOO7O7oJDJrFbY3s1Y_rbouUSR3rM_a3kGlXgcVMys5pFLqmd00VjJh1adJBmh3xA3aM8r3Am2oC/pub?output=csv	https://docs.google.com/spreadsheets/d/1ygWBlBczB24fyL0DTPmTModCuEDi-1j1_rsYBZ5JEOc
growth medium	NA	discrete	multistate-union	https://docs.google.com/spreadsheets/d/e/2PACX-1vTLNLWfdNxo7NGNuJ4Pq6nji-7jQhO1glTHh1cQVS3j147WxbwhbWqhyI3FJR0I578o1hzeGbHwMOmY/pub?output=csv	https://docs.google.com/spreadsheets/d/1r7GIZWjBbmC-rRZYbHUwM31LGJ6YGexdZozYOvFZXVs
growth temperature	NA	numeric	numeric	https://docs.google.com/spreadsheets/d/e/2PACX-1vTWXUnR0_jkpZEE06C0GAypTGjOa2RnOPiLSmPiwAnaf2qS33hd-6GKG95CYDgKeSk6t4BFVjIAB_sh/pub?output=csv	https://docs.google.com/spreadsheets/d/1yJjKSd59tjpq1Oaifd7S3jFBWFe2ZU-kmxV4HtYJznc
habitat	NA	discrete	multistate-union	https://docs.google.com/spreadsheets/d/e/2PACX-1vQrR6R5nhANAU-CweaEp_X9P13eXiyq2A16_hOOREDYZuOqFS_4jAnI4JjihFmy3jAWtUW2V-4kZYPN/pub?gid=0&single=true&output=csv	https://docs.google.com/spreadsheets/d/16WVR910o0p_CyiqYxSa1hkDTdtsAM4Oy8TlbZNIr7ys
health associated	NA	discrete	binary	https://docs.google.com/spreadsheets/d/e/2PACX-1vQm5WlnrHECspbrKkrXpo7nAYD4YEllr2GYoc1rcxuchbXk26H2y_Foyx9kXefVFRU239982aCCb0Xv/pub?output=csv	https://docs.google.com/spreadsheets/d/1oKvcKub-2NnbwYsIyXPETt7nUl89RwTk5Vwzk1WX0j0
host-associated	NA	discrete	binary	https://docs.google.com/spreadsheets/d/e/2PACX-1vTtPP7Ecv27M7DmcgC_AgotEeT0iIAx9SpvibyZUQREiIOEa1PPWXRhlXL0klq18SC-eYCp289VB05g/pub?gid=0&single=true&output=csv	https://docs.google.com/spreadsheets/d/1SHk5e6ASkTDTg5CGKVEryBeHRPawXdtOoH_3Kge9Z48
hydrogen gas producing	NA	discrete	binary	https://docs.google.com/spreadsheets/d/e/2PACX-1vSpucXiYrMe_iYvnZDuNSNkRVnEWRQhykCCXoIvtmTiKAVUdkVnRYvl17nbwGqZDg2xVDwaUXccGYsF/pub?output=csv	https://docs.google.com/spreadsheets/d/14CNe6W0OmR5iY9lQU2IPFtYZsLd8a77ehR3lVJkx1A8
isolation site	NA	discrete	multistate-union	https://docs.google.com/spreadsheets/d/e/2PACX-1vR5qKaSI_iXovASXA2U8figFKFBRNOuuFcnr-wSedtGuxAu2m8IjHp1uD23NGTWK9NmnKcO0m7FfkIx/pub?output=csv	https://docs.google.com/spreadsheets/d/1QmwZcfoXhBdWPxTt6qa7hhMckHGV7c0lU2pTPpcSVfI
lactate producing	NA	discrete	binary	https://docs.google.com/spreadsheets/d/e/2PACX-1vSDYef_4xX2-RVfxhz7XrHIglvHjB5a9bagpApN_zHNhnswhFXN7CRsaQr3pKW6bAyrh8b26tndxCFi/pub?output=csv	https://docs.google.com/spreadsheets/d/1Am4XPHK9zyEuPV1h1je2TmsSHLitJJOLPcuhN6-v_hk
length	NA	range	range	https://docs.google.com/spreadsheets/d/e/2PACX-1vQkcQ7CJ0LjgE0928maxcVEiqq7QHl6vuosL7qdWaCMVuqHCDwsPJA7yNSeXm9FIip-mDRaU6pMk4Ww/pub?output=csv	https://docs.google.com/spreadsheets/d/1gtD-kPb3XEQF0HAFcMMx3Deunj5GxVchPHXWHF-ZK9w
mutation rate per site per generation	NA	numeric	numeric	https://docs.google.com/spreadsheets/d/e/2PACX-1vQxiU_sfIyCEcwua8vuCjbSCeZkUBsL1pnNxEK-985NAsCgy0sNbaSKuFMaU5ytPCQ86h9x2NEJsX-t/pub?output=csv	https://docs.google.com/spreadsheets/d/1YIlMJCwqtzU1v2hTrPOPbjhxjmj_t-ol6WvMLkkz1bs
mutation rate per site per year	NA	numeric	numeric	https://docs.google.com/spreadsheets/d/e/2PACX-1vQGJBifwNIYz6znmGAFgGtzaSNPhxU8qagDgl4BWLHKDcjs_gm11pEaLV7X01qdyeacmwYxalTrx0um/pub?output=csv	https://docs.google.com/spreadsheets/d/1K9KUScp1VeEkeXjJmKft_Rdr4xqlyD9Cx7eQpijzWMQ
optimal ph	NA	numeric	numeric	https://docs.google.com/spreadsheets/d/e/2PACX-1vQTIHjOUyJc7O6Y_w3QIj6wiZD2AA369oWByaS77XTP6VX2IhNgBULN4cccs4ZMD-dsLx9ggTBKOnlt/pub?output=csv	https://docs.google.com/spreadsheets/d/1gDnJXdauXn16X-AJB9tK_hVrZVL1PmHTPP7gS8w7KOM
plant pathogenicity	NA	discrete	binary	https://docs.google.com/spreadsheets/d/e/2PACX-1vSLH__Hb4wPELYjnSsBR_FwJ4FHLUmx3KDO_pQG3CD9JqNyuugWbiBF9TBhXw9S5mSck2cbeY2ai77C/pub?output=csv	https://docs.google.com/spreadsheets/d/1Kgt6cS9Fo94bC38iFdRUF9EJS9KeA5ysPfDKakI4jwM
shape	NA	discrete	multistate-intersection	https://docs.google.com/spreadsheets/d/e/2PACX-1vSSBfC2jfuqioMyj891v-hYM-uL61-amoDNl0bufw5RwVOmjp5m2uNOKTeJsAsZVHFdujgjEAencl5E/pub?output=csv	https://docs.google.com/spreadsheets/d/1OpjfL-EIosX9iUg8nRxv03qpAx8iKo0FpcK_ZQokr-k
spore shape	OMP_0008000	discrete	multistate-intersection	https://docs.google.com/spreadsheets/d/e/2PACX-1vQSMzIaqrE8gCV20sDu_8VBmu1WkpQ_vngaWzLCK2qe5E8IJL7-sOF8qEY0sHeUEavvLHpKVp-vmUxh/pub?output=csv	https://docs.google.com/spreadsheets/d/1XPtnoqeSfJFwDC3QHsXuNrTSJpgIZgUpv4ZmSFtT38g
width	NA	range	range	https://docs.google.com/spreadsheets/d/e/2PACX-1vR45vzAobXMOH1SCECpkBkIvxTsG5d8jAweSHaUst-gFKQcS0tTYUjivmLVByOLbFZgF59miCyF11TC/pub?output=csv	https://docs.google.com/spreadsheets/d/1Wc14Gp4nygdR6XNnZEJ5mZMJtCP6pniqa9GQOwzriNo
genome size	NA	numeric	numeric	https://docs.google.com/spreadsheets/d/e/2PACX-1vT3FGe5zB0y6l3x1s0Xlc41xHVdlCg2ddllxOrHcYabYmDtemwBCYa5ar86UCZaGJRdQomYihwN1niX/pub?output=csv	https://docs.google.com/spreadsheets/d/1LR0WnLf-trrGHLObcr4t2rs_4W4MHS21SZ8KoujF1k4
coding genes	NA	numeric	numeric	https://docs.google.com/spreadsheets/d/e/2PACX-1vTnz-m2zfMkOiPOEjZgq6Q04TNP44qsC1DUYcGnSuDT37k_jyIP9HavVw8qNgGcQU-H4mO8_zobnqTE/pub?output=csv	https://docs.google.com/spreadsheets/d/1MVQ3o4fRYA4EOjp9mNAF0AvyQ0SzzdTMoZXruAIHmb4
sphingolipid producing	NA	discrete	binary	https://docs.google.com/spreadsheets/d/e/2PACX-1vQsNoXw2Noa29eSM0kbn_MCMFGC40nTQffmBHqiqY0Aalax0tHVVjNZBg83t9p0vyLpoSxwkfoWwySL/pub?gid=0&single=true&output=csv	https://docs.google.com/spreadsheets/d/1mVeLtc94SykCBBHhxxPhrbUgFopZ4OMWHrM_c5-grjU
