"attribute"	"attribute_group"	"validity"	"ontology"	"description"
"5% salts"	"growth medium"	"logical"	NA	NA
"5% sheep blood agar"	"growth medium"	"logical"	NA	NA
"asp-2"	"growth medium"	"logical"	NA	NA
"basal salts"	NA	"logical"	NA	NA
"bg11"	"growth medium"	"logical"	"MICRO:0001348"	"A liquid, mineral-salts microbiological culture medium. Used to support the autotrophic growth of cyanobacteria."
"c"	"growth medium"	"logical"	NA	NA
"casitone-yeast extract agar"	"growth medium"	"logical"	NA	NA
"charcoal-yeast extract"	"growth medium"	"logical"	NA	NA
"conway"	"growth medium"	"logical"	NA	NA
"defined microbiological culture medium"	"growth medium"	"logical"	"MICRO:0000068"	"A chemically defined microbiological culture medium where all chemicals used are known. Does not contain any plant, animal, or microbiological cell extracts."
"defined medium plus 1 mM glycine betaine"	NA	"logical"	NA	NA
"artificial seawater"	"growth medium"	"logical"	"MICRO:0001715"	"An inorganic salts solution that mimics sea water."
"fildes enrichment"	"growth medium"	"logical"	"MICRO:0001597"	"Blood medium ingredient comprised of a peptic digest of sheep (Ovis aries) or horse (Equus caballus) blood, serves as a source of hemin and NAD (nicotinamide adenine dinucleotide). Used in the cultivation of microorganisms."
"nutrient broth"	"growth medium;metabolite utilization"	"logical"	"MICRO:0000082"	"An organic-rich, liquid culture medium comprised of beef extract and peptone."
"gse"	"growth medium"	"logical"	NA	"https://research.csiro.au/anaccmethods/wp-content/uploads/sites/337/2020/04/GSe_CSIRO_2020.pdf"
"heart infusion agar"	"growth medium"	"logical"	"MICRO:0000567"	"An organic-rich, solid microbiological culture medium that contains (beef) heart infusion and tryptose. Used to grow a wide range of heterotrophic microorganisms."
"chocolate agar"	"growth medium"	"logical"	"MICRO:0000591"	"A solid microbiological culture medium where blood has been been treated by heating in order to lyse the blood cells."
"brackish microbiological culture medium"	"growth medium"	"logical"	"MICRO:0000483"	"A microbiological culture medium that has a salinity of greater than 0.05 % salts and less than 3% salts."
"lb agar"	"growth medium"	"logical"	"MICRO:0000563"	"An organic-rich, solid microbiological culture medium containing tryptone, yeast extract, and sodium chloride. Used to cultivate Escherichia coli."
"medium 31 agar"	"growth medium"	"logical"	NA	NA
"zobell marine agar"	NA	"logical"	"MICRO:0000112"	"An organic-rich, mineral-salts, solid microbiological culture medium containing peptones and yeast extract in a base of artificial sea water. Used for the cultivation of heterotrophic marine microorganisms. Zobell Marine Agar 2216 Zobell Marine Agar 2216 is recommended for cultivation, isolation and enumeration of heterotrophic marine bacteria."
