"attribute"	"attribute_group"	"validity"	"ontology"	"description"
"Gastroenteritis"	"disease association"	"logical"	"NCIT:C34632"	"An inflammatory disorder that affects the upper and lower gastrointestinal tract. Most commonly, this is attributed to viruses; however bacteria, parasites or adverse reactions can also be the culprit. Symptoms include acute diarrhea and vomiting."
"Glanders"	"disease association"	"logical"	"NCIT:C34638"	"A condition resulting from infection by Burkholderia mallei, which mainly affects horses."
"Haemophilus"	"disease association"	"logical"	"NCIT:C76324"	"A genus of Gram-negative, pleomorphic, coccobacilli bacteria belonging to the Proteobacteria phylum."
"Gonorrhea"	"disease association"	"logical"	"NCIT:C92950"	"A common sexually transmitted bacterial infection caused by Neisseria gonorrhoeae. It is transmitted through vaginal, oral, or anal intercourse. Infected individuals may be asymptomatic. Symptoms in males include burning sensation during urination, discharge from the penis, and painful swelling of the testes. Symptoms in females include painful urination, vaginal discharge, and vaginal bleeding between periods. If untreated, the infection may lead to pelvic inflammatory disease."
"human granulocytic anaplasmosis"	"disease association"	"logical"	"EFO:0000777"	"A tick-borne, infectious disease caused by Anaplasma phagocytophilum, an obligate intracellular bacterium that is typically transmitted to humans by ticks of the Ixodes ricinus species complex"
"Conjunctivitis"	"disease association"	"logical"	"NCIT:C34504"	"Inflammation of the conjunctiva of the eye"
"Infertility"	"disease association"	"logical"	"NCIT:C3836"	"Inability to conceive for at least one year after trying and having unprotected sex. Causes of female infertility include endometriosis, fallopian tubes obstruction, and polycystic ovary syndrome. Causes of male infertility include abnormal sperm production or function, blockage of the epididymis, blockage of the ejaculatory ducts, hypospadias, exposure to pesticides, and health related issues"
"Inflammation"	"disease association"	"logical"	"NCIT:C3137"	"A finding of a localized protective response resulting from injury or destruction of tissues. Inflammation serves to destroy, dilute, or wall off both the injurious agent and the injured tissue. In the acute phase, inflammation is characterized by the signs of pain, heat, redness, swelling, and loss of function. Histologically, inflammation involves a complex series of events, including dilatation of arterioles, capillaries, and venules, with increased permeability and blood flow; exudation of fluids, including plasma proteins; and leukocyte migration into the site of inflammation"
"toxin"	"disease association"	"logical"	"XCO:0000240"	"A protein or conjugated protein produced by some higher plants, certain animals, and pathogenic bacteria, that is highly poisonous for other living organisms"
"legionnaire's disease"	"disease association"	"logical"	"EFO:0007343"	"A pneumonia caused by Legionella pneumophila and other Legionella species, which is characterized by fever, cough, progressive respiratory distress, and which is often accompanied by extrapulmonary manifestations."
"leprosy"	"disease association"	"logical"	"EFO:0001054"	"Leprosy is a chronic infectious disease affecting primarily the skin and peripheral nervous system"
"Lyme Disease"	"disease association"	"logical"	"EFO:0008510"	"Lyme disease (named after the towns in the USA where the disease was first identified) is a bacterial infection caused by Borrelia burgdorferi."
"mastitis"	"disease association"	"logical"	"NCIT:C53662"	"Inflammation of breast tissue during lactation or postpartum due to an obstructed duct or infection."
"Arthritis"	"disease association"	"logical"	"NCIT:C2883"	"An inflammatory process affecting a joint. Causes include infection, autoimmune processes, degenerative processes, and trauma. Signs and symptoms may include swelling around the affected joint and pain"
"melioidosis"	"disease association"	"logical"	"NCIT:C128336"	"An infection that is caused by Burkholderia pseudomallei, which is found in soil and water; symptoms vary widely, but most commonly include fever, cough, pneumonia, arthralgia, myalgia, and skin ulceration."
"Tuberculosis"	"disease association"	"logical"	"NCIT:C3423"	"A chronic, recurrent infection caused by the bacterium Mycobacterium tuberculosis. Tuberculosis (TB) may affect almost any tissue or organ of the body with the lungs being the most common site of infection. The clinical stages of TB are primary or initial infection, latent or dormant infection, and recrudescent or adult-type TB. Ninety to 95% of primary TB infections may go unrecognized. Histopathologically, tissue lesions consist of granulomas which usually undergo central caseation necrosis. Local symptoms of TB vary according to the part affected; acute symptoms include hectic fever, sweats, and emaciation; serious complications include granulomatous erosion of pulmonary bronchi associated with hemoptysis. If untreated, progressive TB may be associated with a high degree of mortality. This infection is frequently observed in immunocompromised individuals with AIDS or a history of illicit IV drug use"
"fever"	"disease association"	"logical"	"NCIT:C3038"	"Elevation of body temperature above normal due to inflammatory or immune responses"
"syphilis"	"disease association"	"logical"	"NCIT:C35055"	"A contagious bacterial infection caused by the Spirochete Treponema pallidum. It is a sexually transmitted disorder, although it can also be transmitted from the mother to the fetus in utero. Typically, it is initially manifested with a single sore which heals without treatment. If the infection is left untreated, the initial stage is followed by skin rash and mucous membrane lesions. A late stage follows, which is characterized by damage of the internal organs, including the nervous system"
"Tetanus"	"disease association"	"logical"	"NCIT:C85185"	"A serious infectious disorder that follows wound contamination by the Gram-positive bacterium Clostridium tetani. The bacteria produce a neurotoxin called tetanospasmin, which causes muscle spasm in the jaw and other anatomic sites"
"Toxic Shock Syndrome"	"disease association"	"logical"	"NCIT:C35498"	"A rare acute life-threatening systemic bacterial noncontagious illness caused by any of several related staphylococcal exotoxins. It is characterized by high fever, hypotension, rash, multi-organ dysfunction, and cutaneous desquamation during the early convalescent period. The toxins affect the host immune system, causing an exuberant and pathological host inflammatory response. Laboratory findings include leukocytosis, elevated prothrombin time, hypoalbuminemia, hypocalcemia, and pyuria"
"Tumor"	"disease association"	"logical"	"NCIT:C98275"	"A benign or malignant pathologic structure in any part of the body, resulting from a neoplastic accumulation of cells."
"reaction to black rot"	"disease association"	"logical"	"CO_331:0000380"	NA
"human microflora"	"habitat"	"logical"	NA	NA
"human gut microbiome"	"habitat"	"logical"	NA	NA
"host-associated"	"habitat"	"logical"	NA	NA
"aquatic biome"	"habitat"	"logical"	NA	NA
"colonization of host"	"habitat"	"logical"	NA	NA
"creosote-contaminated soil"	"habitat;isolation site"	"logical"	NA	NA
"dairy"	"habitat"	"logical"	NA	NA
"fresh water"	"habitat;isolation site"	"logical"	NA	NA
"hot spring"	"habitat;isolation site"	"logical"	NA	NA
"groundwater"	"habitat;isolation site"	"logical"	NA	NA
"hydrothermal vent"	"habitat;isolation site"	"logical"	NA	NA
"intestinal microflora"	"habitat"	"logical"	NA	NA
"marine water body"	"habitat"	"logical"	NA	NA
"mud"	"habitat;isolation site"	"logical"	NA	NA
"multiple"	"habitat"	"logical"	NA	NA
"ocean trench"	"habitat"	"logical"	NA	NA
"oil field production water"	"habitat"	"logical"	NA	NA
"pond"	"habitat;isolation site"	"logical"	NA	NA
"rhizosphere"	"habitat;isolation site"	"logical"	NA	NA
"rice paddies"	"habitat;isolation site"	"logical"	NA	NA
"sea water"	"habitat;isolation site"	"logical"	NA	NA
"sediment"	"habitat;isolation site"	"logical"	NA	NA
"specialized"	"habitat"	"logical"	NA	NA
"terrestrial biome"	"habitat"	"logical"	NA	NA
"not host-associated"	"habitat"	"logical"	NA	NA
"rumen"	"habitat;isolation site"	"logical"	NA	NA
"waste and sludge water"	"habitat"	"logical"	NA	NA
"blood"	"habitat;isolation site"	"logical"	NA	NA
"bovine"	"isolation site"	"logical"	NA	NA
"cerebral spinal fluid"	"habitat"	"logical"	NA	NA
"circulatory system"	"habitat"	"logical"	NA	NA
"creosote contaminated soil"	"habitat"	"logical"	NA	NA
"digestive system"	"habitat"	"logical"	NA	NA
"endosymbiont"	"habitat"	"logical"	NA	NA
"environmental system"	"habitat"	"logical"	NA	NA
"food product"	"habitat;isolation site"	"logical"	NA	NA
"foregut"	"habitat"	"logical"	NA	NA
"free-living"	"habitat"	"logical"	NA	NA
"host-associated"	"habitat"	"logical"	NA	NA
"insect endosymbiont"	"habitat"	"logical"	NA	NA
"insect"	"habitat"	"logical"	NA	NA
"intertidal zone"	"habitat"	"logical"	NA	NA
"lentic water body"	"habitat"	"logical"	NA	NA
"lotic water body"	"habitat"	"logical"	NA	NA
"mammal"	"habitat"	"logical"	NA	NA
"metal"	"habitat"	"logical"	NA	NA
"mine"	"habitat"	"logical"	NA	NA
"plant matter"	"habitat"	"logical"	NA	NA
"acidic"	"optimal ph"	"logical"	NA	NA
"neutral"	"optimal ph"	"logical"	NA	NA
"alkaline"	"optimal ph"	"logical"	NA	NA
"very alkaline"	"optimal ph"	"logical"	NA	NA
"psychrophile"	"growth temperature"	"logical"	NA	NA
"mesophile"	"growth temperature"	"logical"	NA	NA
"thermophile"	"growth temperature"	"logical"	NA	NA
"hyperthermophile"	"growth temperature"	"logical"	NA	NA
"small"	"width;length;genome size;coding genes"	"logical"	NA	NA
"average"	"width;length;genome size;coding genes"	"logical"	NA	NA
"large"	"width;length;genome size;coding genes"	"logical"	NA	NA
"very large"	"width;length;genome size;coding genes"	"logical"	NA	NA
"very small"	"coding genes"	"logical"	NA	NA
"slow"	"mutation rate per site per generation;mutation rate per site per year"	"logical"	NA	NA
"medium"	"mutation rate per site per generation;mutation rate per site per year"	"logical"	NA	NA
"fast"	"mutation rate per site per generation;mutation rate per site per year"	"logical"	NA	NA
"medium fast"	"mutation rate per site per year;"	"logical"	NA	NA
"spore formation"	"spore formation"	"logical"	NA	NA
"Sphingolipid producing"	"sphingolipid producing"	"logical"	NA	NA
"pathogenicity human"	"pathogenicity human"	"logical"	NA	NA
"motility"	"motility"	"logical"	NA	NA
"gamma"	"hemolysis"	"logical"	NA	NA
"beta"	"hemolysis"	"logical"	NA	NA
"alpha"	"hemolysis"	"logical"	NA	NA
"camp test"	"hemolysis"	"logical"	NA	NA
"biosafety level 1"	"biosafety level"	"logical"	NA	NA
"biosafety level 2"	"biosafety level"	"logical"	NA	NA
"biosafety level 3"	"biosafety level"	"logical"	NA	NA
"COGEM pathogenicity rating 1"	"COGEM pathogenicity rating"	"logical"	NA	NA
"COGEM pathogenicity rating 2"	"COGEM pathogenicity rating"	"logical"	NA	NA
"COGEM pathogenicity rating 3"	"COGEM pathogenicity rating"	"logical"	NA	NA
"COGEM pathogenicity rating 4"	"COGEM pathogenicity rating"	"logical"	NA	NA
