NCBI_ID	Rank	Parent_NCBI_ID	Parent_name	Parent_rank
1107	genus	1106	Chloroflexaceae	family
110662	species	1129	Synechococcus	genus
110539	species	1866885	Mycolicibacterium	genus
1105271	strain	1311	Streptococcus agalactiae	species
1105270	strain	1311	Streptococcus agalactiae	species
1105269	strain	1311	Streptococcus agalactiae	species
1105268	strain	1311	Streptococcus agalactiae	species
1105267	strain	1311	Streptococcus agalactiae	species
1105266	strain	1311	Streptococcus agalactiae	species
1105265	strain	1311	Streptococcus agalactiae	species
1105264	strain	1311	Streptococcus agalactiae	species
1105263	strain	1311	Streptococcus agalactiae	species
1105262	strain	1311	Streptococcus agalactiae	species
1105261	strain	1311	Streptococcus agalactiae	species
1105260	strain	1311	Streptococcus agalactiae	species
1105259	strain	1311	Streptococcus agalactiae	species
1105258	strain	1311	Streptococcus agalactiae	species
1105257	strain	1311	Streptococcus agalactiae	species
1105256	strain	1311	Streptococcus agalactiae	species
1105255	strain	1311	Streptococcus agalactiae	species
1105254	strain	1311	Streptococcus agalactiae	species
1105253	strain	1311	Streptococcus agalactiae	species
1105252	strain	1311	Streptococcus agalactiae	species
1105114	strain	33991	Rickettsia montanensis	species
1105113	strain	33992	Rickettsia rhipicephali	species
1105112	strain	35791	Rickettsia massiliae	species
1105111	strain	33989	Rickettsia amblyommatis	species
1105110	strain	787	Rickettsia australis	species
1105109	strain	35794	Rickettsia slovaca	species
1105108	strain	35792	Rickettsia parkeri	species
1105107	strain	788	Rickettsia canadensis	species
1105106	species	780	Rickettsia	genus
1105105	strain	783	Rickettsia rickettsii	species
1105104	strain	783	Rickettsia rickettsii	species
1105103	strain	783	Rickettsia rickettsii	species
1105102	strain	783	Rickettsia rickettsii	species
1105101	strain	783	Rickettsia rickettsii	species
1105100	strain	783	Rickettsia rickettsii	species
1105099	strain	782	Rickettsia prowazekii	species
1105098	strain	782	Rickettsia prowazekii	species
1105097	strain	782	Rickettsia prowazekii	species
1105096	strain	782	Rickettsia prowazekii	species
1105095	strain	782	Rickettsia prowazekii	species
1105094	strain	782	Rickettsia prowazekii	species
110505	species	1763	Mycobacterium	genus
110500	species	191373	Pelotomaculum	genus
110479	species	91914	Asaia	genus
1104777	species	2706529	Segeticoccus	genus
1104774	species	182269	Aurantimonas	genus
1104446	strain	229155	Borrelia turcica	species
1104326	strain	550	Enterobacter cloacae	species
1104324	species	2276	Pyrobaculum	genus
1104322	strain	1359	Lactococcus cremoris	species
1104321	strain	36855	Brucella canis	species
1104320	strain	235	Brucella abortus	species
110322	species	28105	Sinorhizobium	genus
110321	species	28105	Sinorhizobium	genus
110319	species	1839	Nocardioides	genus
1102	species	1101	Prosthecochloris	genus
1101192	species	407	Methylobacterium	genus
1101190	species	61653	Methylopila	genus
1101	genus	191412	Chlorobiaceae	family
1100891	genus	506	Alcaligenaceae	family
1100841	strain	470	Acinetobacter baumannii	species
1100832	strain	813	Chlamydia trachomatis	species
1100720	species	665874	Limnohabitans	genus
1100711	species	665874	Limnohabitans	genus
1100708	species	665874	Limnohabitans	genus
1100706	species	665874	Limnohabitans	genus
1100	species	1099	Pelodictyon	genus
110	species	279	Xanthobacter	genus
11	species	1707	Cellulomonas	genus
1099853	species	1348911	Coprobacter	genus
1099	genus	191412	Chlorobiaceae	family
1098	species	1101	Prosthecochloris	genus
109790	species	1578	Lactobacillus	genus
1097677	strain	31963	Clavibacter nebraskensis	species
1097669	strain	1773	Mycobacterium tuberculosis	species
1097668	species	32008	Burkholderia	genus
1097667	species	361607	Patulibacter	genus
1097466	genus	31989	Paracoccaceae	family
1097366	species	237	Flavobacterium	genus
1097	species	256319	Chlorobaculum	genus
1096997	strain	470	Acinetobacter baumannii	species
1096996	strain	470	Acinetobacter baumannii	species
1096995	strain	470	Acinetobacter baumannii	species
1096868	species	1847	Pseudonocardia	genus
1096856	species	1847	Pseudonocardia	genus
1096779	species	469	Acinetobacter	genus
1096546	species	407	Methylobacterium	genus
1096243	species	135575	Idiomarina	genus
1096091	strain	298598	Labrys methylaminiphilus	species
1096	species	1091	Chlorobium	genus
1095955	strain	160	Treponema pallidum	species
1095900	strain	111504	Bartonella birtlesii	species
1095774	strain	553	Pantoea ananatis	species
1095770	strain	1268254	Peptoniphilus timonensis	species
1095769	strain	1465823	Noviherbaspirillum massiliense	species
1095768	strain	1485952	Phytobacter massiliensis	species
1095767	strain	1465811	Cellulomonas massiliensis	species
1095750	strain	467210	Lachnoanaerobaculum saburreum	species
1095749	strain	752	Pasteurella bettyae	species
1095747	strain	859	Fusobacterium necrophorum	species
1095744	strain	735	Haemophilus parahaemolyticus	species
1095731	strain	1338	Streptococcus intermedius	species
1095729	strain	1328	Streptococcus anginosus	species
1095191	species	182709	Oceanobacillus	genus
1095113	species	1163	Anabaena	genus
1095024	species	1279	Staphylococcus	genus
